model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
XGBoost,-1.4593,-2.1184,2.1699,2.5854,1.8614,0.6400,0.6300,55.0000,Cu_мг_кг,date2,hyper_idx,24
PLSR,-2.2056,-3.7300,3.3388,4.4175,3.0523,0.5600,0.4100,59.0000,Cu_мг_кг,date1,vip,61
PLSR,-2.6928,-4.0611,6.0696,4.7414,2.7420,0.5200,0.3800,59.0000,Cu_мг_кг,date1,pca_10,10
PLSR,-5.3339,-7.7855,4.9606,6.2096,4.4205,0.4000,0.2900,59.0000,Cu_мг_кг,date1,deriv1_snv,300
PLSR,-5.7482,-8.5635,9.5038,6.4095,3.9828,0.3800,0.2800,59.0000,Cu_мг_кг,date1,raw_smooth,300
PLSR,-7.1779,-12.3626,17.2265,4.7146,2.4658,0.3500,0.3500,55.0000,Cu_мг_кг,date2,hyper_idx,24
PLSR,-29.6076,-50.5570,100.1451,9.1210,3.2503,0.1800,0.1800,55.0000,Cu_мг_кг,date2,vip,98
PLSR,-39.3604,-68.1898,118.7021,10.4738,3.4309,0.1600,0.1600,55.0000,Cu_мг_кг,date2,deriv1_snv,300
PLSR,-557.9484,-958.7887,1893.3662,38.9775,7.9516,0.0400,0.0400,55.0000,Cu_мг_кг,date2,raw_smooth,300
PLSR,-860.7468,-1235.5121,2469.8952,72.4299,11.6266,0.0300,0.0200,59.0000,Cu_мг_кг,date1,hyper_idx,24
PLSR,-5111.5250,-8779.6958,17505.5790,117.8815,20.6940,0.0100,0.0100,55.0000,Cu_мг_кг,date2,pca_10,10
PLSR,0.0474,-0.4910,1.0896,66.5977,57.3899,1.0200,1.4400,60.0000,Fe_мг_кг,date1,cars_spa,25
RF,-0.0374,-0.0668,0.1001,113.2862,85.8939,0.9800,1.2400,55.0000,Fe_мг_кг,date2,deriv1_snv,300
SVR,-0.0479,-0.0447,0.0692,113.8601,86.7892,0.9800,1.2300,55.0000,Fe_мг_кг,date2,raw_smooth,300
SVR,-0.0480,-0.0447,0.0693,113.8644,86.8412,0.9800,1.2300,55.0000,Fe_мг_кг,date2,vip,114
SVR,-0.0502,-0.0465,0.0700,113.9863,86.7352,0.9800,1.2300,55.0000,Fe_мг_кг,date2,deriv1_snv,300
SVR,-0.0514,-0.0485,0.0684,114.0475,86.9520,0.9800,1.2300,55.0000,Fe_мг_кг,date2,pca_10,10
